rc_original_app_user_id,rc_last_seen_app_user_id_alias,country,country_source,product_identifier,product_display_name,product_duration,start_time,end_time,grace_period_end_time,effective_end_time,store,is_auto_renewable,is_trial_period,is_in_intro_offer_period,is_sandbox,price_in_usd,purchase_price_in_usd,takehome_percentage,tax_percentage,commission_percentage,store_transaction_id,original_store_transaction_id,refunded_at,unsubscribe_detected_at,billing_issues_detected_at,purchased_currency,price_in_purchased_currency,purchase_price_in_purchased_currency,entitlement_identifiers,renewal_number,is_trial_conversion,presented_offering,ownership_type,reserved_subscriber_attributes,custom_subscriber_attributes,platform,experiment_id,experiment_variant,updated_at,offer,offer_type,first_seen_time,auto_resume_time
$RCAnonymousID:7840710868620076,$RCAnonymousID:2585214381824999,US,estimated,rc_subscription_monthly,Weekly $2.99,P1W,2023-02-02 21:40:15,2023-07-01 02:07:55,,2023-07-28 19:07:18,play_store,False,False,True,True,2.13,3.37,0.85,0.1998,0.16,653699907653176,104292995977792,2023-06-21 01:33:29,,2023-06-30 19:29:15,EUR,8.33,1.12,['full_access'],2,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",android,,,2023-10-31 20:24:27,,,2023-08-24 13:08:01,2023-09-29 23:24:27
$RCAnonymousID:7220215682095139,$RCAnonymousID:2603299310612084,GB,from_sdk,rc_subscription_annual,Annual $99.99,P1W,2023-11-27 15:51:44,2023-07-03 09:29:12,,2023-04-30 03:43:52,app_store,True,False,False,True,7.87,2.06,0.85,0.1667,0.18,771513741979779,223815254855019,2023-12-08 14:41:42,2023-01-14 18:06:06,,USD,1.83,5.88,"['membership', 'full_access']",4,True,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",ios,,,2023-10-10 14:44:15,,,2023-11-23 21:43:21,
$RCAnonymousID:8180409887224715,$RCAnonymousID:8524753768194896,DE,from_sdk,rc_subscription_monthly,Monthly $9.99,P1M,2023-03-20 09:58:02,2023-06-02 09:26:49,,2023-05-27 17:39:04,stripe,False,True,True,True,2.59,3.6,0.85,0.1416,0.12,535876194953417,360352705104679,,2023-05-20 20:20:19,,USD,1.86,9.45,['full_access'],5,True,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",android,,,2023-02-05 13:54:30,holiday_offer,discount,2023-08-11 12:09:25,2023-09-29 15:48:07
$RCAnonymousID:9464244179086005,$RCAnonymousID:4848820460821926,FR,estimated,rc_subscription_monthly,Monthly $9.99,P1W,2023-03-05 08:57:32,2023-08-31 22:59:16,,2023-03-13 17:27:44,play_store,False,True,True,False,5.46,3.08,0.7,0.1055,0.18,928596655445023,227034320420295,,2023-04-06 06:14:14,2023-12-13 12:42:10,EUR,9.0,3.41,['membership'],5,True,Default Offering,FAMILY_SHARED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",ios,,,2023-03-19 20:40:52,holiday_offer,offer_code,2023-03-24 10:38:41,
$RCAnonymousID:3808808412609683,$RCAnonymousID:7550801826348383,DE,estimated,rc_subscription_monthly,Annual $99.99,P1M,2023-10-09 22:27:58,2023-06-11 15:44:12,2023-09-09 08:24:38,2023-10-09 05:26:57,play_store,True,True,False,True,2.97,9.24,0.7,0.1334,0.11,367309155283633,727408226128989,2023-06-05 15:16:03,2023-11-06 04:15:57,,GBP,2.38,7.75,['membership'],4,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",android,prexp3706852,,2023-01-28 17:35:05,,,2023-12-13 16:36:08,
$RCAnonymousID:3465520063113239,$RCAnonymousID:1231245464224626,GB,from_sdk,rc_subscription_annual,Weekly $2.99,P1W,2023-01-06 03:46:35,2023-10-10 23:00:41,2023-12-05 17:10:14,2023-07-08 08:21:01,stripe,True,True,True,False,3.87,7.77,0.85,0.1848,0.16,189243661070704,167802720252463,,,,GBP,3.98,3.29,"['membership', 'full_access']",5,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",android,prexp3786197,a,2023-11-07 11:39:51,holiday_offer,offer_code,2023-07-06 20:35:14,
$RCAnonymousID:3904654901934559,$RCAnonymousID:4341807720782797,FR,estimated,rc_subscription_annual,Annual $99.99,P1W,2023-05-23 13:01:31,2023-01-18 12:55:40,,2023-04-29 01:32:37,play_store,False,True,False,True,4.27,8.22,0.85,0.1265,0.12,504045466941903,237717090756338,2023-04-26 02:45:40,2023-01-21 05:43:22,2023-07-07 09:02:44,USD,7.6,5.82,['membership'],2,True,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",android,,,2023-06-04 14:04:31,,,2023-12-31 03:15:29,
$RCAnonymousID:1073345995173480,$RCAnonymousID:5552774074622625,DE,from_sdk,rc_subscription_weekly,Weekly $2.99,P1W,2023-02-03 20:41:53,2023-07-04 01:26:04,,2023-10-24 17:26:08,play_store,True,False,False,True,2.66,4.96,0.85,0.1158,0.14,413847969172107,719238905979484,,2023-03-24 19:33:07,2023-09-06 03:48:25,EUR,6.78,4.67,['membership'],4,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",ios,prexp5733330,a,2023-04-18 23:36:06,holiday_offer,discount,2023-03-16 00:55:22,
$RCAnonymousID:2880726631979555,$RCAnonymousID:1908691292574014,GB,estimated,rc_subscription_monthly,Monthly $9.99,P1Y,2023-04-25 22:43:14,2023-09-25 02:18:56,,2023-11-03 17:54:41,stripe,False,True,True,True,2.45,3.77,0.7,0.1043,0.15,252607865292559,894453628832688,,,2023-02-19 04:42:03,GBP,6.95,4.71,"['membership', 'full_access']",1,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",ios,,,2023-05-18 14:26:42,black_friday_discount,discount,2023-05-24 12:51:49,
$RCAnonymousID:7332206761723225,$RCAnonymousID:7287601570118428,GB,from_sdk,rc_subscription_monthly,Monthly $9.99,P1W,2023-03-17 05:35:21,2023-09-22 11:48:54,2023-10-25 09:16:15,2023-05-16 20:09:14,app_store,True,True,True,False,1.35,8.19,0.7,0.1643,0.13,475762010644654,214698754683944,2023-03-02 17:54:45,2023-08-06 02:43:14,,GBP,4.02,4.02,['membership'],4,False,Default Offering,PURCHASED,"{""$ip"": {""value"": ""203.78.120.117"", ""updated_at_ms"": 1672549200}, ""$gpsAdId"": {""value"": ""80480bdc-06e0-11ee-be56-0242ac120002"", ""updated_at_ms"": 1672549200}, ""$androidId"": {""value"": ""12345a9876b4c123"", ""updated_at_ms"": 1673097132390}}","{""feature_setting"": {""value"": ""1"", ""updated_at_ms"": 1672549200}, ""survey_response"": {""value"": ""2"", ""updated_at_ms"": 1599112814785}}",ios,,a,2023-06-09 10:24:25,,,2023-08-23 04:19:57,2023-09-29 13:27:40
